"Age","MaleCount","FemaleCount"
"0-9",3,2
"10-19",2,3
"20-29",21,30
"30-39",17,19
"40-49",14,14
"50-59",18,24
"60-69",24,15
"70-79",6,6
"80-89",1,2
"90-99",0,0
"100+",0,0
